Date,Open
2023-11-14,4458.97
2023-11-15,4505.30
2023-11-16,4497.08
2023-11-17,4509.55
2023-11-20,4511.70
2023-11-21,4538.77
2023-11-22,4553.04
2023-11-24,4555.84
2023-11-27,4554.86
2023-11-28,4545.55
2023-11-29,4571.84
2023-11-30,4554.87
2023-12-01,4559.43
2023-12-04,4564.37
2023-12-05,4557.25
2023-12-06,4586.23
2023-12-07,4568.84
2023-12-08,4576.20
2023-12-11,4593.39
2023-12-12,4618.30
2023-12-13,4646.20
2023-12-14,4721.04
2023-12-15,4714.23
2023-12-18,4725.58
2023-12-19,4743.72
2023-12-20,4764.73
2023-12-21,4724.29
2023-12-22,4753.92
2023-12-26,4758.86
2023-12-27,4773.45
2023-12-28,4786.44
2023-12-29,4782.88
2024-01-02,4745.20
2024-01-03,4725.07
2024-01-04,4697.42
2024-01-05,4690.57
2024-01-08,4703.70
2024-01-09,4741.93
2024-01-10,4759.94
2024-01-11,4792.13
2024-01-12,4791.18
2024-01-16,4772.35
2024-01-17,4739.13
2024-01-18,4760.10
2024-01-19,4796.28
2024-01-22,4853.42
2024-01-23,4856.80
2024-01-24,4888.56
2024-01-25,4886.66
2024-01-26,4888.91
2024-01-29,4892.95
2024-01-30,4925.89
2024-01-31,4899.19
2024-02-01,4861.11
2024-02-02,4916.06
2024-02-05,4957.19
2024-02-06,4950.16
2024-02-07,4973.05
2024-02-08,4995.16
2024-02-09,5004.17
2024-02-12,5026.83
2024-02-13,4967.94
2024-02-14,4976.44
2024-02-15,5003.14
2024-02-16,5031.13
2024-02-20,4989.32
2024-02-21,4963.03
2024-02-22,5038.83
2024-02-23,5100.92
2024-02-26,5093.00
2024-02-27,5074.60
2024-02-28,5067.20
2024-02-29,5085.36
2024-03-01,5098.51
2024-03-04,5130.99
2024-03-05,5110.52
2024-03-06,5108.03
2024-03-07,5132.38
2024-03-08,5164.46
2024-03-11,5111.96
2024-03-12,5134.30
2024-03-13,5173.49
2024-03-14,5175.14
2024-03-15,5123.31
2024-03-18,5154.77
2024-03-19,5139.09
2024-03-20,5181.69
2024-03-21,5253.43
2024-03-22,5242.48
2024-03-25,5219.52
2024-03-26,5228.85
2024-03-27,5226.31
2024-03-28,5248.03
2024-04-01,5257.97
2024-04-02,5204.29
2024-04-03,5194.37
2024-04-04,5244.05
2024-04-05,5158.95
2024-04-08,5211.37
2024-04-09,5217.03
2024-04-10,5167.88
2024-04-11,5172.95
2024-04-12,5171.51
2024-04-15,5149.67
2024-04-16,5064.59
2024-04-17,5068.97
2024-04-18,5031.52
2024-04-19,5005.44
2024-04-22,4987.33
2024-04-23,5028.85
2024-04-24,5084.86
2024-04-25,5019.88
2024-04-26,5084.65
2024-04-29,5114.13
2024-04-30,5103.78
2024-05-01,5029.03
2024-05-02,5049.32
2024-05-03,5122.78
2024-05-06,5142.42
2024-05-07,5187.20
2024-05-08,5168.98
2024-05-09,5189.03
2024-05-10,5225.49
2024-05-13,5233.08
2024-05-14,5221.10
2024-05-15,5263.26
2024-05-16,5310.07
2024-05-17,5303.10
2024-05-20,5305.35
2024-05-21,5298.69
2024-05-22,5319.28
2024-05-23,5340.26
2024-05-24,5281.45
2024-05-28,5315.91
2024-05-29,5278.73
2024-05-30,5259.77
2024-05-31,5243.21
2024-06-03,5297.15
2024-06-04,5278.24
2024-06-05,5314.48
2024-06-06,5357.80
2024-06-07,5343.81
2024-06-10,5341.22
2024-06-11,5353.00
2024-06-12,5409.13
2024-06-13,5441.93
2024-06-14,5424.08
2024-06-17,5431.11
2024-06-18,5476.15
2024-06-20,5499.99
2024-06-21,5466.77
2024-06-24,5459.58
2024-06-25,5460.73
2024-06-26,5460.71
2024-06-27,5473.59
2024-06-28,5488.48
2024-07-01,5471.08
2024-07-02,5461.84
2024-07-03,5507.44
2024-07-05,5537.91
2024-07-08,5572.75
2024-07-09,5584.24
2024-07-10,5591.26
2024-07-11,5635.21
2024-07-12,5590.76
2024-07-15,5638.16
2024-07-16,5644.09
2024-07-17,5610.07
2024-07-18,5608.56
2024-07-19,5543.37
2024-07-22,5544.54
2024-07-23,5565.30
2024-07-24,5505.84
2024-07-25,5428.70
2024-07-26,5433.67
2024-07-29,5476.55
2024-07-30,5478.73
2024-07-31,5505.59
2024-08-01,5537.84
2024-08-02,5376.63
2024-08-05,5151.14
2024-08-06,5206.42
2024-08-07,5293.13
2024-08-08,5252.57
2024-08-09,5314.66
2024-08-12,5351.88
2024-08-13,5376.98
2024-08-14,5442.36
2024-08-15,5501.13
2024-08-16,5530.50
2024-08-19,5557.23
2024-08-20,5602.88
2024-08-21,5603.09
2024-08-22,5637.77
2024-08-23,5602.49
2024-08-26,5639.66
2024-08-27,5602.89
2024-08-28,5624.51
2024-08-29,5607.30
2024-08-30,5612.74
2024-09-03,5623.89
2024-09-04,5506.68
2024-09-05,5520.08
2024-09-06,5507.33
2024-09-09,5442.07
2024-09-10,5490.51
2024-09-11,5496.42
2024-09-12,5557.48
2024-09-13,5603.34
2024-09-16,5615.21
2024-09-17,5655.51
2024-09-18,5641.68
2024-09-19,5702.63
2024-09-20,5709.64
2024-09-23,5711.90
2024-09-24,5727.66
2024-09-25,5733.65
2024-09-26,5762.22
2024-09-27,5755.36
2024-09-30,5726.52
2024-10-01,5757.73
2024-10-02,5698.14
2024-10-03,5698.19
2024-10-04,5737.48
2024-10-07,5737.80
2024-10-08,5719.14
2024-10-09,5751.80
2024-10-10,5778.36
2024-10-11,5775.09
2024-10-14,5829.81
2024-10-15,5866.74
2024-10-16,5816.58
2024-10-17,5875.62
2024-10-18,5859.43
2024-10-21,5857.82
2024-10-22,5832.70
2024-10-23,5834.50
2024-10-24,5817.80
2024-10-25,5826.75
2024-10-28,5833.93
2024-10-29,5819.68
2024-10-30,5832.65
2024-10-31,5775.34
2024-11-01,5723.22
2024-11-04,5725.15
2024-11-05,5722.43
2024-11-06,5864.89
2024-11-07,5947.21
2024-11-08,5976.76
2024-11-11,6008.86
2024-11-12,6003.60
2024-11-13,5985.75
2024-11-14,5989.68
2024-11-15,5912.79
2024-11-18,5874.17
2024-11-19,5870.05
2024-11-20,5914.34
2024-11-21,5940.58
2024-11-22,5944.36
2024-11-25,5992.28
2024-11-26,6000.03
2024-11-27,6014.11
2024-11-29,6003.98
2024-12-02,6040.11
2024-12-03,6042.97
2024-12-04,6069.39
2024-12-05,6089.03
2024-12-06,6081.38
2024-12-09,6083.01
2024-12-10,6057.59
2024-12-11,6060.15
2024-12-12,6074.29
2024-12-13,6068.17
2024-12-16,6063.79
2024-12-17,6052.55
2024-12-18,6047.65
2024-12-19,5912.71
2024-12-20,5842.00
2024-12-23,5940.25
2024-12-24,5984.63
2024-12-26,6024.97
2024-12-27,6006.17
2024-12-30,5920.67
2024-12-31,5919.74
2025-01-02,5903.26
2025-01-03,5891.07
2025-01-06,5982.81
2025-01-07,5993.26
2025-01-08,5910.66
2025-01-10,5890.35
2025-01-13,5782.02
2025-01-14,5859.27
2025-01-15,5905.21
2025-01-16,5963.61
2025-01-17,5995.40
2025-01-21,6014.12
2025-01-22,6081.39
2025-01-23,6076.32
2025-01-24,6121.43
2025-01-27,5969.04
2025-01-28,6026.97
2025-01-29,6057.70
2025-01-30,6050.75
2025-01-31,6096.79
2025-02-03,5969.65
2025-02-04,5998.14
2025-02-05,6020.45
2025-02-06,6072.22
2025-02-07,6083.13
2025-02-10,6046.40
2025-02-11,6049.32
2025-02-12,6025.08
2025-02-13,6060.59
2025-02-14,6115.52
2025-02-18,6121.60
2025-02-19,6117.76
2025-02-20,6134.50
2025-02-21,6114.10
2025-02-24,6026.69
2025-02-25,5982.73
2025-02-26,5970.87
2025-02-27,5981.88
2025-02-28,5856.74
2025-03-03,5968.33
2025-03-04,5811.98
2025-03-05,5781.36
2025-03-06,5785.87
2025-03-07,5726.01
2025-03-10,5705.37
2025-03-11,5603.65
2025-03-12,5624.84
2025-03-13,5594.45
2025-03-14,5563.85
2025-03-17,5635.60
2025-03-18,5654.53
2025-03-19,5632.37
2025-03-20,5646.92
2025-03-21,5630.73
2025-03-24,5718.08
2025-03-25,5775.96
2025-03-26,5771.66
2025-03-27,5695.64
2025-03-28,5679.20
2025-03-31,5527.91
2025-04-01,5597.53
2025-04-02,5580.76
2025-04-03,5492.74
2025-04-04,5292.14
2025-04-07,4953.79
2025-04-08,5193.57
2025-04-09,4965.28
2025-04-10,5353.15
2025-04-11,5255.56
2025-04-14,5441.96
2025-04-15,5411.99
2025-04-16,5335.75
2025-04-17,5305.45
2025-04-21,5232.94
2025-04-22,5207.67
2025-04-23,5395.92
2025-04-24,5381.38
2025-04-25,5489.73
2025-04-28,5529.22
2025-04-29,5508.87
2025-04-30,5499.44
2025-05-01,5625.14
2025-05-02,5645.88
2025-05-05,5655.32
2025-05-06,5605.87
2025-05-07,5614.18
2025-05-08,5663.60
2025-05-09,5679.65
2025-05-12,5807.20
2025-05-13,5854.15
2025-05-14,5896.74
2025-05-15,5869.82
2025-05-16,5929.09
2025-05-19,5902.88
2025-05-20,5944.66
2025-05-21,5910.18
2025-05-22,5841.26
2025-05-23,5781.89
2025-05-27,5854.07
2025-05-28,5925.54
2025-05-29,5939.96
2025-05-30,5903.67
2025-06-02,5896.68
2025-06-03,5938.56
2025-06-04,5978.94
2025-06-05,5985.67
2025-06-06,5987.06
2025-06-09,6004.63
2025-06-10,6009.91
2025-06-11,6049.38
2025-06-12,6009.90
2025-06-13,6000.56
2025-06-16,6004.00
2025-06-17,6012.15
2025-06-18,5987.93
2025-06-20,5999.67
2025-06-23,5969.67
2025-06-24,6061.21
2025-06-25,6104.23
2025-06-26,6112.09
2025-06-27,6150.70
2025-06-30,6193.36
2025-07-01,6187.25
2025-07-02,6193.88
2025-07-03,6246.46
